Combined localizations
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-ByteblazarsNoBlurryTextures\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-Material Modifier\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.vs\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\Stamps\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\StampsV2\localization.txt "
Key,English,French,german,russian
ZombieINC_challenge_tier2_DefensePOI_description,Quest,Quest Info,,X,"The payment is high, so are the risks. You already know that right? well... No!?So let me explain again.\n\nYou need to head to a building that has already been cleared. There shouldn't be much loot left there, so don't worry about that. In this building, some resources have been placed to help you defend the place against the hordes. At the end of the mission, if anything is left, you can sell it to me for some extra cash !"
ZombieINC_challenge_tier2_DefensePOI_offer,Quest,Quest Info,,X,"So, This is the same job that you did before right? was that... you? I think so. You should be able to do this mission without any complications, you will encounter just normal zombies. Distract the zombies as always while we do our job. Are you in?"
ZombieINC_challenge_tier2_DefensePOI_completion,Quest,Quest Info,,X,"Not bad at all, maybe you really have some potential! Here is your reward"
ZombieINC_challenge_tier2_DefensePOI_response,Quest,Quest Info,,X,Defense POI ([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier2_DefensePOI_statement,Quest,Quest Info,,X,"Here you are again, I thought that maybe you could have fled from this town Kid, after your initial missions."



ZombieINC_challenge_tier3_DefenseConstruction_name,Quests,Quest Info,,x,Tier 3 Defend The Area
ZombieINC_challenge_tier3_DefenseConstruction_subtitle,Quests,Quest Info,,x,Something Is Not Right
ZombieINC_challenge_tier3_DefenseConstruction_description,Quests,Quest Info,,x,"You should be able to find the buried chest more quickly than in the normal mission I sent you.\n\nGo there and bring back my stuff."
ZombieINC_challenge_tier3_DefenseConstruction_offer,Quests,Quest Info,,x,"I need you to investigate some events that happened yesterday. It seems that someone is digging up our buried supplies. You will find some wood, supplies, and a zombielure that we use to escape from problematic situations. Go there and see if you can bring back the remaining stuff, okay?"
ZombieINC_challenge_tier3_DefenseConstruction_completion,Quests,Quest Info,,x,"Thanks for your help! Everything is in perfect state. I have doubts if they really tried to steal from us or were just testing us.\n\nIf you still had some wood of that chest, I can buy it as a Bonus reward"
ZombieINC_challenge_tier3_DefenseConstruction_response,Quests,Quest Info,,x,Defense Area([DECEA3]{treasure.distance} {treasure.direction}[-])
ZombieINC_challenge_tier3_DefenseConstruction_statement,Quests,Quest Info,,x,"Be careful, it almost like someone is controlling the zombies."



ZombieINC_challenge_tier4_DefenseConstruction_name,Quests,Quest Info,,x,Tier 4 Defend The Area
ZombieINC_challenge_tier4_DefenseConstruction_subtitle,Quests,Quest Info,,x,Something Is Not Right Again
ZombieINC_challenge_tier4_DefenseConstruction_description,Quests,Quest Info,,x,"Our plan is very simple. On your side, you will do the same thing as last time. Things will change on our side. Scouts are in strategic positions to see who is guiding and manipulating the zombie aggro toward our trader station."
ZombieINC_challenge_tier4_DefenseConstruction_offer,Quests,Quest Info,,x,"The Mole returns. That's what people are calling the person who dug up our buried supplies last time. But something strange happened after you got the location, do you remember? An ambush was set up towards me. We think that the Mole will try to do the same thing again, but this time we have a plan.\n\nDo you mind taking part in it?"
ZombieINC_challenge_tier4_DefenseConstruction_completion,Quests,Quest Info,,x,"Well, they caught us off guard again. At least you are alive. I will call you again when I have another plan.\n\nAs last time, If you still had some wood of that chest, I can buy it as a Bonus reward"
ZombieINC_challenge_tier4_DefenseConstruction_response,Quests,Quest Info,,x,Defense ([DECEA3]{treasure.distance} {treasure.direction}[-])
ZombieINC_challenge_tier4_DefenseConstruction_statement,Quests,Quest Info,,x,"Well, it happened again, but now it is time to put a plan in action"



ZombieINC_challenge_tier5_DefenseConstruction_name,Quests,Quest Info,,x,Tier 5 Defend The Trader
ZombieINC_challenge_tier5_DefenseConstruction_subtitle,Quests,Quest Info,,x,Something Is Changing
ZombieINC_challenge_tier5_DefenseConstruction_description,Quests,Quest Info,,x,"([FF0000]The Rally Point can only be Start in the morning 6-9AM[-]) Our plan is very simple; you must have heard this before. The thing that changes this time is that we don't have a plan. You like that? So go there, attract that horde with the lure, and kill them all."
ZombieINC_challenge_tier5_DefenseConstruction_offer,Quests,Quest Info,,x,"([FF0000]The Rally Point can only be Start in the morning 6-9AM[-]) We have suffered with innumerable hordes, and this time it seems to be merging and getting bigger every day. We still haven't confirmed the presence of bandits, but given the events that are happening recently, it is reasonable to conclude that they have finally arrived in the region. This type of zombie coordination must be something artificially made by them, just as we do when we want to loot the city. For now, I want you to [DECEA3]aggro these hordes[-] far away from here and [DECEA3]kill them all[-]. If nothing is done, these zombies might attack us. Deal? "
ZombieINC_challenge_tier5_DefenseConstruction_completion,Quests,Quest Info,,x,"WOW! I'm glad that I'm alive, and of course I'm glad you are alive too! Hahaha! You need to prepare yourself for what's to come. It will only get worse. Here is your reward."
ZombieINC_challenge_tier5_DefenseConstruction_response,Quests,Quest Info,,x,Defense ([DECEA3]{treasure.distance}{treasure.direction}[-])
ZombieINC_challenge_tier5_DefenseConstruction_statement,Quests,Quest Info,,x,"Our moments of peace have come to an end; the time has changed."



ZombieINC_challenge_tier6_DefenseConstruction_name,Quests,Quest Info,,x,Tier 6 Defend The Trader
ZombieINC_challenge_tier6_DefenseConstruction_subtitle,Quests,Quest Info,,x,Some Things Never Changes 
ZombieINC_challenge_tier6_DefenseConstruction_description,Quests,Quest Info,,x,"([FF0000]The Rally Point can only be Start in the morning 6-9AM[-]) Our plan is very simple, but this time it's very risky. I think I'm getting old; I keep repeating myself ahahahahah! That might be my last joke. I don't have many things to say. Humanity never changes. Even with these zombies, we could be living in peace with nature. But here we are with a war to fight. I'm giving you a warrior's helmet; you are part of us now."
ZombieINC_challenge_tier6_DefenseConstruction_offer,Quests,Quest Info,,x,"([FF0000]The Rally Point can only be Start in the morning 6-9AM[-]) An immense amount of zombies are approaching the station. We don't have time to build a properly base to hold them elsewhere. It will be right here and now. Lastly, all I can say is that if I survive this, I will pay you with all I have! Are you with me, my friend?"
ZombieINC_challenge_tier6_DefenseConstruction_completion,Quests,Quest Info,,x,"We have survived, but just for now... More is to come. Those bandits will not stop. Things will only get worse. Here's all I have for you. I could give you more, but I still have a lot of people to maintain. Keep your eyes open; I might need your help again."
ZombieINC_challenge_tier6_DefenseConstruction_response,Quests,Quest Info,,x,Defense ([DECEA3]{treasure.distance} {treasure.direction}[-])
ZombieINC_challenge_tier6_DefenseConstruction_statement,Quests,Quest Info,,x,"Quickly, the night is coming! We need to kill them before that; if not, it might become the coldest and longest night for all of us."



ZombieINC_tier3_DefenseConstruction_Annotation,gameevents,,,X,"The trader has been ambushed, I can hear the horde. I need to do something! It seems that this buried supplies are untouched. I will use the supplies to build my own defenses and the ZombieLure to attract the horde that is heading toward the trader."
ZombieINC_tier3_DefenseConstruction_BeltTooltip,gameevents,,,X,"The Trader Have Been Ambushed"
ZombieINC_tier3_DefenseConstruction_Annotation_title,Journal Tip,,,x,"Tier 3 Defense Area Player's Thoughts"
ZombieINC_tier3_DefenseConstruction_ChatMessage,Journal Tip,,,x,"| [FF6600]Player's Mind:[-]  When I'm ready, I will put the Lure to start the fight"



ZombieINC_tier4_DefenseConstruction_Annotation,gameevents,,,X,"Oh crap, this time they sent the horde towards me, I can see it. Our plan failed, and it seems that this horde is much bigger than last time. They want to kill me."
ZombieINC_tier4_DefenseConstruction_BeltTooltip,gameevents,,,X,"You Have Been Ambushed"
ZombieINC_tier4_DefenseConstruction_Annotation_title,Journal Tip,,,x,"Tier 4 Defense Area Player's Thoughts"
ZombieINC_tier4_DefenseConstruction_ChatMessage,Journal Tip,,,x,"| [FF6600]Player's Mind:[-] This time I can't decide when to start fighting. I need to act now. It seens that the trader has been ambushed"


ZombieINC_Defense_ChatMessage_HotFixBow1,gameevents,,,X,"| [FF6600]Game Tip:[-] Your Party Needs To Shoot The Arrow At The Same Time"

ZombieINC_DefenseChatCrateWarning,gameevents,,,X,"| [FF6600]Game:[-] Only take the items of ONE crate."
ZombieINC_DefenseBeltCrateWarning,gameevents,,,X,"Only take the items of ONE crate."

ZombieINC_Defense_BeltTooltip_HotFix1,gameevents,,,X,"You Need To Go OutSide"
ZombieINC_Defense_ChatMessage_HotFix1,gameevents,,,X,"| [FF6600]Player's Mind:[-] I need to go outside at the entrance every wave, so the zombies can see me. After that, I can go back inside."

ZombieINC_Defense_BeltTooltip_ZombiesNearby,gameevents,,,X,"Cant't Activate"
ZombieINC_Defense_ChatMessage_ZombiesNearby,gameevents,,,X,"| [FF6600]Player's Mind:[-] Cant't activate, there are zombies nearby"

ZombieINC_Defense_BeltTooltip_Wave1,gameevents,,,X,"Wave 1 Finished"
ZombieINC_Defense_ChatMessage_Wave1,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the First wave"

ZombieINC_Defense_BeltTooltip_Wave2,gameevents,,,X,"Wave 2 Finished"
ZombieINC_Defense_ChatMessage_Wave2,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Second wave"

ZombieINC_Defense_BeltTooltip_Wave3,gameevents,,,X,"Wave 3 Finished"
ZombieINC_Defense_ChatMessage_Wave3,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Third wave"

ZombieINC_Defense_BeltTooltip_Wave4,gameevents,,,X,"Wave 4 Finished"
ZombieINC_Defense_ChatMessage_Wave4,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Fourth wave"

ZombieINC_Defense_BeltTooltip_Wave4_Surprise,gameevents,,,X,"Wave Surprise Finished"
ZombieINC_Defense_ChatMessage_Wave4_Surprise,gameevents,,,X,"| [FF6600]Player's Mind:[-] Oh shit! I'm still alive"
ZombieINC_Defense_ChatMessage_Wave4_Begin,gameevents,,,X,"| [FF6600]Player's Mind:[-] Why there is another horde ?"



ZombieINC_Defense_BeltTooltip_Wave5,gameevents,,,X,"Wave 5 Finished"
ZombieINC_Defense_ChatMessage_Wave5,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Fifth wave"

ZombieINC_Defense_BeltTooltip_Wave6,gameevents,,,X,"Wave 6 Finished"
ZombieINC_Defense_ChatMessage_Wave6,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Sixth wave"

ZombieINC_Defense_BeltTooltip_Wave7,gameevents,,,X,"Wave 7 Finished"
ZombieINC_Defense_ChatMessage_Wave7,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Seventh wave"
ZombieINC_Defense_ChatMessage_Wave7Begin,gameevents,,,X,"| [FF6600]Player's Mind:[-] What is this sound ? Something very bad is coming our way !"

ZombieINC_Defense_BeltTooltip_Wave8,gameevents,,,X,"Wave 8 Finished"
ZombieINC_Defense_ChatMessage_Wave8,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Eighth wave"

ZombieINC_Defense_BeltTooltip_Wave9,gameevents,,,X,"Wave 9 Finished"
ZombieINC_Defense_ChatMessage_Wave9,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Ninth wave"

ZombieINC_Defense_BeltTooltip_Wave10,gameevents,,,X,"Wave 10 Finished"
ZombieINC_Defense_ChatMessage_Wave10,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've finished the Tenth wave"

ZombieINC_Defense_BeltTooltip_DefenseT6,gameevents,,,X,"We have been ambushed"
ZombieINC_Defense_ChatMessage_DefenseT6,gameevents,,,X,"| [FF6600]Player's Mind:[-] Oh Shit! The Zeds Arrived"
ZombieINC_Defense_ChatMessage_DefenseT6Trader,gameevents,,,X,"| [FF6600]Trader's Voice:[-] You CAN'T LEAVE the TRADER AREA! Fight those zombies! You NEED TO BE in a OPEN AREA of the TRADER ZONE, The mission will FAIL if you keep hiding!"
ZombieINC_Defense_ChatMessage_DefenseT6Game,gameevents,,,X,"| [FF6600]Game:[-] The time limit is 12 seconds (Below roofs)"

ZombieINC_Defense_ChatMessage_AlternativeBuried1,gameevents,,,X,"| [FF6600]Player's Mind:[-] Cant't activate, The lure needs to be in a open area."
ZombieINC_Defense_BeltTooltip_AlternativeBuried1,gameevents,,,X,"Cant't activate"

ZombieINC_MultiplayerCheckChatMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] I need to wait for the remaining partners."

ZombieINC_ArrowLandingSuccessBeltTooltipMessage,gameevents,,,X,"Your arrow reached enough height"
ZombieINC_ArrowLandingExplanationBeltTooltipMessage,gameevents,,,X,"You need to aim TOTALLY VERTICALLY"
ZombieINC_ArrowLandingFailedBeltTooltipMessage,gameevents,,,X,"Your arrow did not reach enough height"

ZombieINC_ArrowLandingSuccessChatMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] I got it."
ZombieINC_ArrowLandingExplanationChatMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] If I remember correct, he said that I need to aim Totally Vertically."
ZombieINC_ArrowLandingExplanationChatMessage2,gameevents,,,X,"| [FF6600]Player's Mind:[-] Okay, need to shot the flare again."
ZombieINC_ArrowLandingFailedChatMessage,gameevents,,,X,"| [FF6600]Player's Mind:[-] Oh crap, not high enough."


ZombieINC_Defense_ChatMessage_ZombieLureCooldown,gameevents,,,X,"| [FF6600]Player's Mind:[-] Cant't activate, ZombieLure needs to burn for at least 30 Seconds"
ZombieINC_Defense_BeltTooltip_ZombieLureCooldown,gameevents,,,X,"Cant't activate"

ZombieINC_Defense_ChatMessage_StayToolongIndoorsFail,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've stayed too long above a roof. Mission failed, the zombies couldn't saw me"
ZombieINC_Defense_BeltTooltip_StayToolongIndoorsFail,gameevents,,,X,"You Stayed Too long Indoors"

ZombieINC_Defense_ChatMessage_LeaveTraderAreaFail,gameevents,,,X,"| [FF6600]Player's Mind:[-] I've got too far from the trader. Mission failed, the trader got unprotected"
ZombieINC_Defense_BeltTooltip_LeaveTraderAreaFail,gameevents,,,X,"You got too far"

ZombieINC_crate_T1,entityclasses,Entity,,x,Air Drop
ZombieINC_crate_T2,entityclasses,Entity,,x,Air Drop

ZombieINC_ammoArrowFlare,items,item,,x,Arrow with Flare
ZombieINC_ammoArrowFlareDesc,items,item,,x,A Quest Item.

ZombieINC_Borrowed_gunBowT0PrimitiveBow,items,item,,x,A Borrowed Old Bow.
ZombieINC_Borrowed_gunBowT0PrimitiveBowDesc,items,item,,x,A Quest Item.

ZombieINC_resourceSmellEnhancer,items,item,,x,Smell Enhancer

ZombieINC_resourceSmellEnhancer,items,item,,x,Smell Enhancer
ZombieINC_resourceSmellEnhancerDesc,items,item,,x,"Grandma's secrets. A Quest Ingredient for the Zombie Dog Bait\n\nRecipe for Zombie Dog Bait is already in the crafting menu"

ZombieINC_woodShapes:VariantHelper,blocks,Block,,x,Borrowed Wood
materialZombieINC_Mwood_shapes,blocks,Block,,x,Borrowed Wood
ZombieINC_woodGroupDesc,blocks,Block,,x,"A borrowed quest item, half durability, and way more resources needed to upgrade due to the long time it was stored.\n\nYou can sell the remaining ones to the trader as a bonus reward"

ZombieINC_cobblestoneShapes:VariantHelper,blocks,Block,,x,Borrowed Cobblestone
materialZombieINC_Mcobblestone_shapes,blocks,Block,,x,Borrowed Cobblestone
ZombieINC_cobblestoneGroupDesc,blocks,Block,,x,"A borrowed quest item, half durability, and way more resources needed to upgrade due to the long time it was stored.\n\nYou can sell the remaining ones to the trader as a bonus reward"


ZombieINC_capChimneyLargeSmoke_T3_W1,blocks,Block,,x,"Zombie Lure (Wave 1)"
ZombieINC_capChimneyLarge_T3_W1,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T3_W2,blocks,Block,,x,"Zombie Lure (Wave 2)"
ZombieINC_capChimneyLarge_T3_W2,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T3_W3,blocks,Block,,x,"Zombie Lure (Wave 3)"
ZombieINC_capChimneyLarge_T3_W3,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T3_W4,blocks,Block,,x,"Zombie Lure (Wave 4)"
ZombieINC_capChimneyLarge_T3_W4,blocks,Block,,x,"Zombie Lure Broken"

ZombieINC_capChimneyLargeSmoke_T4_W1,blocks,Block,,x,"Zombie Lure (Wave 1)"
ZombieINC_capChimneyLarge_T4_W1,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T4_W2,blocks,Block,,x,"Zombie Lure (Wave 2)"
ZombieINC_capChimneyLarge_T4_W2,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T4_W3,blocks,Block,,x,"Zombie Lure (Wave 3)"
ZombieINC_capChimneyLarge_T4_W3,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T4_W4,blocks,Block,,x,"Zombie Lure (Wave 4)"
ZombieINC_capChimneyLarge_T4_W4,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T4_W5,blocks,Block,,x,"Zombie Lure (Wave 5)"
ZombieINC_capChimneyLarge_T4_W5,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T4_W6,blocks,Block,,x,"Zombie Lure (Wave 6)"
ZombieINC_capChimneyLarge_T4_W6,blocks,Block,,x,"Zombie Lure Broken"

ZombieINC_capChimneyLargeSmoke_T5_W1,blocks,Block,,x,"Zombie Lure (Wave 1)"
ZombieINC_capChimneyLarge_T5_W1,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T5_W2,blocks,Block,,x,"Zombie Lure (Wave 2)"
ZombieINC_capChimneyLarge_T5_W2,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T5_W3,blocks,Block,,x,"Zombie Lure (Wave 3)"
ZombieINC_capChimneyLarge_T5_W3,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T5_W4,blocks,Block,,x,"Zombie Lure (Wave 4)"
ZombieINC_capChimneyLarge_T5_W4,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T5_W5,blocks,Block,,x,"Zombie Lure (Wave 5)"
ZombieINC_capChimneyLarge_T5_W5,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T5_W6,blocks,Block,,x,"Zombie Lure (Wave 6)"
ZombieINC_capChimneyLarge_T5_W6,blocks,Block,,x,"Zombie Lure Broken"
ZombieINC_capChimneyLargeSmoke_T5_W7,blocks,Block,,x,"Zombie Lure (Wave 7)"
ZombieINC_capChimneyLarge_T5_W7,blocks,Block,,x,"Zombie Lure Broken"


zombieinc_isindoorscheckerdisplay,buffs,Buff,,x,"Time Limit"
zombieinc_isindoorscheckerdisplaydesc,buffs,Buff,,x,"Your Time Limit is 12 seconds"

ZombieINC_BuriedChestDefenseConstructionT3,blocks,Block,,x,Buried Chest 
ZombieINC_BuriedChestDefenseT3,,,,x,"Buried Chest"

ZombieINC_BuriedChestDefenseConstructionT4,blocks,Block,,x,Buried Chest 
ZombieINC_BuriedChestDefenseT4,,,,x,"Buried Chest"

ZombieINC_BuriedChestDefenseConstructionT5,blocks,Block,,x,Buried Chest 
ZombieINC_BuriedChestDefenseT5,,,,x,"Buried Chest"

ZombieINC_BuriedChestDefenseConstructionT6,blocks,Block,,x,Buried Chest 
